epoch,negative_sampling_loss,dirichlet_prior_loss
265,30.366,-59596.219
266,30.332,-59711.848
267,30.348,-59827.664
268,30.356,-59943.516
269,30.305,-60059.535
270,30.321,-60175.539
271,30.277,-60291.805
272,30.323,-60408.020
273,30.306,-60524.504
274,30.274,-60641.098
275,30.260,-60757.730
276,30.247,-60874.453
277,30.212,-60991.320
278,30.214,-61108.109
279,30.200,-61225.207
280,30.187,-61342.371
281,30.207,-61459.617
282,30.172,-61576.961
283,30.174,-61694.531
284,30.180,-61812.117
285,30.144,-61929.660
286,30.112,-62047.445
287,30.147,-62165.316
288,30.155,-62283.191
289,30.125,-62401.219
290,30.098,-62519.297
291,30.100,-62637.477
292,30.084,-62755.812
293,30.095,-62874.176
294,30.082,-62992.539
295,30.077,-63111.062
296,30.048,-63229.738
297,30.072,-63348.484
298,30.062,-63467.223
299,30.040,-63586.070
300,30.036,-63705.027
301,30.038,-63824.086
302,30.048,-63943.109
303,30.004,-64062.223
304,30.006,-64181.500
305,29.983,-64300.703
306,30.004,-64420.215
307,29.944,-64539.637
308,29.939,-64659.090
309,29.980,-64778.648
310,29.923,-64898.328
311,29.933,-65017.953
312,29.939,-65137.754
313,29.947,-65257.742
314,29.917,-65377.641
315,29.946,-65497.531
316,29.903,-65617.625
317,29.905,-65737.711
318,29.923,-65857.898
319,29.924,-65978.203
320,29.902,-66098.500
321,29.881,-66218.797
322,29.907,-66339.109
323,29.848,-66459.625
324,29.840,-66580.219
325,29.813,-66700.852
326,29.843,-66821.242
327,29.836,-66941.969
328,29.885,-67062.562
329,29.815,-67183.383
330,29.830,-67304.305
331,29.778,-67425.086
332,29.849,-67545.961
333,29.777,-67666.953
334,29.772,-67788.000
335,29.790,-67909.008
336,29.805,-68030.102
337,29.786,-68151.141
338,29.763,-68272.336
339,29.803,-68393.570
340,29.736,-68514.844
341,29.735,-68636.141
342,29.755,-68757.445
343,29.715,-68879.008
344,29.732,-69000.516
345,29.790,-69121.828
346,29.725,-69243.453
347,29.730,-69364.836
348,29.715,-69486.570
349,29.750,-69608.188
350,29.712,-69729.977
351,29.758,-69851.633
352,29.730,-69973.367
353,29.701,-70095.188
354,29.700,-70217.016
355,29.664,-70338.844
356,29.689,-70460.664
357,29.664,-70582.633
358,29.691,-70704.633
359,29.674,-70826.484
360,29.631,-70948.578
361,29.635,-71070.695
362,29.595,-71192.734
363,29.602,-71314.758
364,29.626,-71437.016
365,29.627,-71559.195
366,29.618,-71681.492
367,29.618,-71803.672
368,29.649,-71925.984
369,29.604,-72048.273
370,29.600,-72170.539
371,29.614,-72292.891
372,29.604,-72415.281
373,29.612,-72537.688
374,29.580,-72660.148
375,29.551,-72782.625
376,29.586,-72905.008
377,29.560,-73027.453
378,29.553,-73150.023
379,29.588,-73272.438
380,29.531,-73395.039
381,29.555,-73517.555
382,29.539,-73640.102
383,29.561,-73762.906
384,29.582,-73885.375
385,29.557,-74008.094
386,29.538,-74130.883
387,29.567,-74253.508
388,29.498,-74376.320
389,29.532,-74498.945
390,29.468,-74621.719
391,29.512,-74744.438
392,29.483,-74867.164
393,29.510,-74989.992
394,29.497,-75112.938
395,29.493,-75235.680
396,29.476,-75358.656
397,29.484,-75481.508
398,29.501,-75604.344
399,29.477,-75727.266
400,29.473,-75850.297
401,29.517,-75973.172
402,29.466,-76096.172
403,29.486,-76219.312
404,29.453,-76342.195
405,29.444,-76465.305
406,29.468,-76588.312
407,29.447,-76711.320
408,29.475,-76834.375
409,29.444,-76957.430
410,29.441,-77080.664
411,29.436,-77203.703
412,29.444,-77326.805
413,29.432,-77449.859
414,29.429,-77573.000
415,29.394,-77696.172
416,29.431,-77819.305
417,29.403,-77942.547
418,29.410,-78065.578
419,29.392,-78188.852
420,29.393,-78311.828
421,29.414,-78435.266
422,29.391,-78558.570
423,29.408,-78681.695
424,29.393,-78804.961
425,29.393,-78928.250
426,29.429,-79051.461
427,29.405,-79174.875
428,29.407,-79298.086
429,29.379,-79421.242
430,29.390,-79544.711
431,29.349,-79668.047
432,29.396,-79791.305
433,29.358,-79914.633
434,29.354,-80037.938
435,29.349,-80161.328
436,29.342,-80284.719
437,29.336,-80408.141
438,29.354,-80531.477
439,29.313,-80654.898
440,29.279,-80778.289
441,29.330,-80901.781
442,29.320,-81025.125
443,29.361,-81148.445
444,29.318,-81272.000
445,29.301,-81395.398
446,29.305,-81518.922
447,29.317,-81642.359
448,29.273,-81765.727
449,29.299,-81889.289
450,29.303,-82012.797
451,29.277,-82136.266
452,29.330,-82259.852
